Time (s),Velocity (m/s),Gamma (rad),Altitude (m),G-force,Angle of Attack (rad),AoA Adjustment (rad)
0,0,8000.0,-0.12217304763960307,100000.0,[1.88675294],[-0.66996124],[-0.06699612]
1,1,[8001.09253308],[-0.12215362],99025.04525275882,[1.8892382],[-0.67032488],[-0.06703249]
2,2,[8002.16489252],[-0.12213122],[98050.11166637],[1.89211285],[-0.67074996],[-0.067075]
3,3,[8003.21321498],[-0.12210539],[97075.22531776],[1.89545362],[-0.67124876],[-0.06712488]
4,4,[8004.23287548],[-0.12207557],[96100.41644494],[1.89934553],[-0.67183498],[-0.0671835]
5,5,[8005.21840436],[-0.12204111],[95125.72026681],[1.90388732],[-0.67252464],[-0.06725246]
6,6,[8006.16335101],[-0.12200123],[94151.17789037],[1.90919298],[-0.67333639],[-0.06733364]
7,7,[8007.06013154],[-0.12195503],[93176.8373631],[1.91539339],[-0.67429185],[-0.06742918]
8,8,[8007.89986079],[-0.12190144],[92202.75488701],[1.92263775],[-0.67541597],[-0.0675416]
9,9,[8008.67216963],[-0.12183922],[91228.99621027],[1.93109477],[-0.67673738],[-0.06767374]
10,10,[8009.36500978],[-0.12176694],[90255.63821091],[1.94098765],[-0.67829421],[-0.06782942]
11,11,[8009.96411593],[-0.12168288],[89282.77068422],[1.95259252],[-0.6801343],[-0.06801343]
12,12,[8010.45248119],[-0.12158502],[88310.49870629],[1.96621348],[-0.68231178],[-0.06823118]
13,13,[8010.81007627],[-0.12147097],[87338.94555347],[1.98219428],[-0.68488966],[-0.06848897]
14,14,[8011.0134537],[-0.12133795],[86368.25590487],[2.00092813],[-0.68794251],[-0.06879425]
15,15,[8011.03525453],[-0.12118269],[85398.5994466],[2.0218972],[-0.69139789],[-0.06913979]
16,16,[8010.85313391],[-0.12100259],[84430.17497428],[2.04546921],[-0.69533136],[-0.06953314]
17,17,[8010.44108779],[-0.12079459],[83463.20472471],[2.07235487],[-0.69988319],[-0.06998832]
18,18,[8009.76608096],[-0.12055484],[82497.93816292],[2.10289334],[-0.70514081],[-0.07051408]
19,19,[8008.79167411],[-0.12027907],[81534.65936831],[2.13741807],[-0.71120179],[-0.07112018]
20,20,[8007.47807164],[-0.11996266],[80573.69037484],[2.17624048],[-0.71817445],[-0.07181745]
21,21,[8005.78233006],[-0.11960067],[79615.39436021],[2.21962786],[-0.7261785],[-0.07261785]
22,22,[8003.65878318],[-0.11918791],[78660.17848502],[2.26777439],[-0.73534542],[-0.07353454]
23,23,[8001.05975258],[-0.11871899],[77708.49611608],[2.3207641],[-0.74581877],[-0.07458188]
24,24,[7997.93662308],[-0.11818856],[76760.84808956],[2.3785247],[-0.75775431],[-0.07577543]
25,25,[7994.24137345],[-0.11759146],[75817.78257804],[2.44077163],[-0.77131978],[-0.07713198]
26,26,[7989.92865964],[-0.11692303],[74879.89302408],[2.50694217],[-0.78669457],[-0.07866946]
27,27,[7984.95854861],[-0.11617948],[73947.81349704],[2.57612072],[-0.80406909],[-0.08040691]
28,28,[7979.29999162],[-0.11535836],[73022.21072634],[2.64695763],[-0.82364407],[-0.08236441]
29,29,[7972.93510198],[-0.11445915],[72103.77197902],[2.71758596],[-0.84562977],[-0.08456298]
30,30,[7965.86425834],[-0.11348393],[71193.18789944],[2.78436733],[-0.86978266],[-0.08697827]
